Data;Estacao_Ano;Tipo_Planta;Chuva_mm;Cor_Folha;Densidade_Fibra;Tamanho_Raiz_cm;Num_Praga;Tempo_Crescimento_horas;Custo_Cultivo
2020-03-06;Primavera;Tomate;1.1182733129259368;-2.2774119415983214;3.048212262487538;36.83672668840512;33.0;5067.4469942491505;42931.26407766699
2020-03-07;Primavera;Trigo;1.0055668836933611;18.97734173096386;1.456505221390775;49.515785167553545;13.0;3183.7858001747118;34085.608556508305
2020-03-09;Primavera;Trigo;1.1841324262361501;33.49296299209039;1.3335602209073212;36.51464648425091;23.5;4119.719271268099;38194.5238176873
2020-03-17;Primavera;Trigo;0.40587187113763656;19.64790857222926;3.5899039232270096;18.557006257148988;8.0;2852.2065034953935;28630.010256700352
2020-03-22;Primavera;Cenoura;0.6676257789636298;41.41132111006233;3.674173250840416;20.0472890573992;21.0;4041.8465117964697;44648.87472589621
2020-03-23;Primavera;Tomate;1.1538722466896791;15.14854055397046;2.253642470035642;33.08926407473842;43.0;5934.995943086092;46287.80990337221
2020-03-24;Primavera;Cenoura;0.6096827892949099;31.559376863822937;3.747310977460253;16.51797431950624;4.0;2513.99026826803;27108.983942212064
2020-03-25;Primavera;Cenoura;1.012387886922759;49.59010841571951;3.489024036073986;15.069795608183655;39.0;5668.131012393972;49409.48743000359
2020-03-29;Primavera;Batata;1.1404992036150838;28.14821826127988;2.2221004853346926;32.34987261042743;6.0;2635.675916060597;32955.81017517469
2020-04-04;Primavera;Tomate;1.4136071924210103;14.155477580071594;2.563392646543228;25.42327844064709;37.0;5442.719198721251;42809.53643273097
2020-04-06;Primavera;Tomate;0.8413672086034623;4.678677495556001;2.457147501030839;48.7174091640067;36.0;5454.603193417215;50666.73332470529
2020-04-07;Primavera;Batata;1.0409828741190283;12.109277315354548;1.5153474739668982;32.50342348516878;0.5;2097.498735917526;19307.51787792085
2020-04-08;Primavera;Milho;1.1378428116894326;53.13302236157629;2.8997176868403263;20.94346880283195;2.0;2250.6899881820286;18588.70865148883
2020-04-09;Primavera;Batata;1.7634179392771694;7.5112805232477635;1.427136648565822;25.323335031551697;42.0;5763.08113229897;39818.669129923815
