Data;Tipo_Planta;Tipo_Solo;Humidade_Solo;Temperatura_C;Chuva_mm;Horas_Sol_Dia;Frequencia_Podas;Ervas_Daninhas;Num_Praga;Altura_cm;Tempo_Crescimento_horas;Custo_Cultivo;Preco_Venda;Saude;Tempo_Vida_dias;Litros_Agua_Semana;Espaco_Ocupado_m2;Indice_Fertilizacao;Nivel_Pesticida;Feature_Irrelevante1;Feature_Irrelevante2
2020-01-01;Cenoura;Humoso;16.548121576863885;28.742566118162745;128.16633213535624;6.809980576863571;1;0;0;138.66998781664543;2585.9719840145804;529.6611388657516;907.5474689723537;Doente;47.41732991742436;48.13839821127178;2.7827277576888774;5.593728311243804;3.73791311755304;81.52139888617728;A
2020-01-02;Milho;Siltoso;28.733551744020282;30.742869757492116;106.24162585477256;8.107169285404048;8;1;17;126.88292705438462;2104.4617095744015;267.4303927012602;768.5211713337687;Doente;150.40039811923975;54.75168570029241;1.4999457137787575;1.8290930053710384;4.895519793682393;42.31659576525133;B
2020-01-03;Cenoura;Argiloso;54.73936943594768;26.474066092403667;12.041610003150465;9.223095756800792;6;0;0;214.15577328632327;472.64485647259403;397.62383841860833;1213.5128892612024;Saudável;136.5890637245908;47.24601182310967;2.490689790285459;3.3097038816437885;2.0967990990171845;58.80407498656933;A
2020-01-04;Cenoura;Siltoso;74.83646571942032;32.928138508201705;40.51353345859717;4.102525357897882;7;1;30;101.38047769631805;1103.586606547291;476.76368410255066;1050.63288402032;Doente;95.26465377348691;43.56322143727409;1.253675552621267;7.680817796854743;1.242590709824908;6.911636015845235;B
2020-01-05;Soja;Siltoso;66.04963687891915;16.048872848320457;89.11617103816238;2.857438549840678;3;0;0;247.37870053964824;1495.4901138932023;236.4831230256454;737.4160757399802;Saudável;138.64575298176507;35.26651854827613;4.542842544011989;5.994720570152662;2.476128792817484;39.709676256054806;D
2020-01-06;Milho;Humoso;26.593538311465508;14.245374752640314;124.06332613335069;3.2709394350346592;3;1;0;70.49747323299927;2477.7019214245383;343.05900743722606;594.0149330272615;Doente;146.43759543222802;19.997002073440918;3.0663298152338525;6.051073454804202;2.2793045089924746;29.166026816680258;A
2020-01-07;Tomate;Humoso;27.201959081400435;32.32101642935222;52.1517524267079;4.617666885950931;7;1;0;32.28791374078929;1938.6375077905132;402.34498108963186;966.1250028028791;Doente;111.84698409022411;31.23116093667852;2.1480288277191946;8.408327500071652;2.4309233404634347;37.57464026788181;D
2020-01-08;Tomate;Siltoso;76.56707341693134;40.48959329907224;73.19934387836526;3.4664866893068362;6;0;0;116.3377930014459;1767.005274811805;353.98925839167407;944.0222615191782;Doente;78.47206242981775;60.80561033946877;3.445192222922902;7.9371024343290255;4.190979528542875;45.03578573089856;B
2020-01-09;Trigo;Argiloso;73.10137556600507;35.420911398324634;155.59595180853725;4.664440680867188;5;1;5;56.03224027054207;1086.2755021709427;516.4157670454642;1487.7640355550539;Doente;132.03418897281665;35.66524206858619;1.6869938671214084;3.4594051772113166;2.008984862584967;21.66385910157651;D
2020-01-10;Tomate;Siltoso;40.66635786527714;25.192714237083987;33.88117101647189;6.833534094075778;3;1;39;30.674355707010932;2332.422238213603;212.88774778551058;453.74038573793314;Doente;80.3799014516479;33.82602105500297;5.0981487884732175;7.28948293524676;4.697915080125627;63.57000857995255;A
