Data;Tipo_Planta;Tipo_Solo;Humidade_Solo;Temperatura_C;Chuva_mm;Horas_Sol_Dia;Frequencia_Podas;Ervas_Daninhas;Num_Praga;Altura_cm;Tempo_Crescimento_horas;Custo_Cultivo;Preco_Venda;Saude;Tempo_Vida_dias;Litros_Agua_Semana;Espaco_Ocupado_m2;Indice_Fertilizacao;Nivel_Pesticida;Feature_Irrelevante1;Feature_Irrelevante2
2020-01-01;Cenoura;Arenoso;49.54291772242654;34.21069246715456;182.23124250075801;6.86466491421801;2;0;0;154.84296824452596;2030.1381647835744;410.9066014222702;1116.4035689364837;Doente;143.36605911088657;44.83499547249031;4.814129910512336;9.524749429282888;0.17041929432735292;29.976334943795568;B
2020-01-02;Cenoura;Humoso;25.442062680200333;18.2121088290169;20.88993858213739;6.772009685707571;1;1;0;175.50752883514534;1428.270444436468;202.5725060066051;609.4532597752642;Doente;132.98155563042292;49.1692014401823;3.6138049025997616;1.2400251659204757;4.3214353899793085;3.2448235716612484;B
2020-01-03;Trigo;Siltoso;17.186213852922275;37.05875015286238;74.09071107749217;10.223520385838807;2;0;0;185.0964059068998;2759.3014426424784;155.0807914515488;504.0054565069787;Doente;139.1098360967347;49.80591191808355;5.490190577206388;2.2031841113144086;2.6670394373552013;78.83125991655456;C
2020-01-04;Tomate;Humoso;52.97686263506732;13.15252708230021;108.09752087372729;4.636201384478157;1;1;0;114.24092918071155;3208.0887729091837;368.00320865945;1094.3464107473944;Doente;57.92878798311365;34.47859560066688;2.802454855679364;7.3022822691550955;0.6365812086528565;52.033674828444965;A
2020-01-05;Trigo;Arenoso;68.53766067783883;30.837628578128136;53.036121834372786;5.430784931391996;1;0;0;256.33933580895206;1412.773192492056;447.9876726083829;1391.098790640025;Doente;76.78384918235938;60.253708105343705;2.89516089180434;8.459813002683315;3.2936222168529192;0.9296368096564311;B
2020-01-06;Tomate;Argiloso;19.490266759127874;35.972116364054585;118.33709359105;9.174961737855337;5;1;19;-12.676163209359604;1427.1619529792547;597.6333220285264;1059.0625796160161;Doente;150.44464332662662;41.47316714154435;5.487541348648043;6.36478685863431;0.055365037550978324;86.51808466812483;B
2020-01-07;Tomate;Siltoso;53.56244340087768;33.43925044211716;94.19847842064364;9.538095851891214;7;1;7;285.95631177399514;1852.9184793704208;138.8112745495523;438.1563595920484;Doente;136.01751616589542;55.86516987638837;3.617927989609725;6.138847172660143;0.23463652423421566;64.85092813787993;A
2020-01-08;Milho;Siltoso;32.37939832694888;27.80152564199922;9.816656019011782;9.367649747384611;1;0;0;83.66745148055834;1471.554314563363;162.56579403492128;371.78187655686696;Doente;98.58867942614174;25.934225290913666;5.839085203220909;-0.22981378207429137;0.30264931079185753;43.712859830177074;C
2020-01-09;Tomate;Arenoso;30.23750943538839;16.9222695082497;90.15086777240288;10.135070458460078;3;1;28;185.85768311372541;806.3075192127579;355.11860665212583;963.5471703250986;Doente;77.74111750746805;38.940499977796456;3.239730794410948;3.514220422594801;4.4879843535943005;97.69076583882048;A
2020-01-10;Cenoura;Arenoso;45.17735289746646;38.34546521570121;128.67234416149358;10.190294275141941;0;1;21;213.06068287386665;3168.443064991861;201.47199966668614;545.0124808010993;Doente;84.89003425097673;24.401511145563372;4.629793665600673;3.4268947527150377;4.13758169673472;84.44587732374238;B
2020-01-11;Soja;Argiloso;26.69045627981631;24.451749603437392;157.7910178665469;9.255343677402852;2;1;48;25.215614970089312;3035.9658487238175;366.4311125650763;906.2999426693192;Doente;41.67292275488589;13.044628522889877;5.838456871017448;1.1823759524225446;2.6191613231363955;58.355113315799926;C
2020-01-12;Soja;Humoso;61.41148187919323;29.167943297977697;129.49855067862285;10.911243942410355;0;1;39;24.878420395465078;2067.818417485154;628.0954211221056;1480.1309663446773;Doente;68.60846216081839;40.64120763282942;4.017146488445821;8.619206377030245;1.0466631600956027;97.56336057930346;B
2020-01-13;Cenoura;Humoso;76.3007360403507;26.010353366913147;145.3824056666945;5.238765481033328;7;1;0;242.8196249859912;3220.8994125649697;346.2213069464599;974.6666569316278;Doente;147.774959604907;43.737985015884945;5.5068022080237276;8.854796479284364;1.8343257260151065;32.10570211697925;C
2020-01-14;Trigo;Siltoso;63.82634795439139;21.460811861523503;145.2895565149098;7.8988418860642735;2;0;0;221.5899031016735;1015.4517687361227;494.4813888567605;1505.407979807303;Doente;124.1047174191242;57.31049419686233;3.042431396448809;8.368229148942536;0.8279088549096053;91.4797732714937;B
